City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Solnechnyy,RU,2020-02-20 20:57:34,50.72,136.63,-2.9,89,35,2.42
71,Kudamatsu,JP,2020-02-20 20:57:34,34.0,131.87,37.4,74,20,5.82
72,Nikolskoye,RU,2020-02-20 20:53:39,59.7,30.79,33.8,95,75,4.47
73,Lagoa,PT,2020-02-20 20:53:39,39.05,-27.98,56.82,61,67,8.55
74,Baghdad,IQ,2020-02-20 20:57:35,33.34,44.4,55.4,66,0,5.82
75,New Norfolk,AU,2020-02-20 20:50:26,-42.78,147.06,51.8,53,20,12.75
76,Itaituba,BR,2020-02-20 20:57:35,-4.28,-55.98,78.8,94,75,8.05
77,Gravelbourg,CA,2020-02-20 20:57:35,49.88,-106.55,24.8,71,0,16.75
78,Faanui,PF,2020-02-20 20:53:31,-16.48,-151.75,82.69,78,100,18.72
79,Qaanaaq,GL,2020-02-20 20:53:31,77.48,-69.36,-14.3,59,0,5.59
80,Camacha,PT,2020-02-20 20:55:03,33.08,-16.33,57.2,87,75,24.16
81,Hobart,AU,2020-02-20 20:51:04,-42.88,147.33,51.8,53,20,12.75
82,Tuktoyaktuk,CA,2020-02-20 20:53:25,69.45,-133.04,-0.4,77,90,8.05
83,Gbarnga,LR,2020-02-20 20:57:35,7.0,-9.47,75.38,93,65,3.44
84,Narsaq,GL,2020-02-20 20:53:43,60.92,-46.05,30.2,30,75,20.8
85,Cape Canaveral,US,2020-02-20 20:57:35,28.41,-80.6,86.0,83,90,8.05
86,Victoria,HK,2020-02-20 20:50:28,22.29,114.16,63.0,72,0,6.93
87,Ulaanbaatar,MN,2020-02-20 20:57:36,47.91,106.88,-4.0,76,40,2.24
88,Airai,TL,2020-02-20 20:53:46,-8.93,125.41,66.94,91,80,4.59
89,Havre-Saint-Pierre,CA,2020-02-20 20:54:06,50.23,-63.6,-0.4,49,1,17.22
90,Mahebourg,MU,2020-02-20 20:53:49,-20.41,57.7,78.8,74,75,11.41
91,Kavieng,PG,2020-02-20 20:53:28,-2.57,150.8,83.3,75,53,9.22
92,Plettenberg Bay,ZA,2020-02-20 20:55:14,-34.05,23.37,66.36,89,44,2.35
93,Talnakh,RU,2020-02-20 20:53:21,69.49,88.4,14.0,92,75,6.71
94,Abu Samrah,SY,2020-02-20 20:57:36,35.3,37.18,48.63,83,18,8.9
95,Yokadouma,CM,2020-02-20 20:57:36,3.52,15.05,76.48,50,46,0.87
96,Codrington,AU,2020-02-20 20:53:33,-38.27,141.97,59.56,77,0,13.47
97,Straumen,NO,2020-02-20 20:57:36,63.87,11.3,44.6,52,75,12.75
98,Georgetown,MY,2020-02-20 20:53:22,5.41,100.34,80.6,65,20,9.17
99,Zyryanskoye,RU,2020-02-20 20:57:37,56.83,86.63,23.7,94,100,11.1
100,Khatanga,RU,2020-02-20 20:53:21,71.97,102.5,2.32,88,95,7.81
101,Egvekinot,RU,2020-02-20 20:57:37,66.32,-179.17,-18.31,83,0,2.89
102,Sao Francisco,BR,2020-02-20 20:57:37,-15.95,-44.86,77.54,87,100,4.18
103,San Cristobal,VE,2020-02-20 20:54:50,7.77,-72.22,89.6,52,40,9.17
104,Wick,GB,2020-02-20 20:57:37,58.43,-3.08,39.2,63,40,18.34
105,Nanortalik,GL,2020-02-20 20:54:44,60.14,-45.24,26.02,71,100,6.02
106,Dzaoudzi,YT,2020-02-20 20:57:37,-12.79,45.27,80.6,94,20,2.24
107,Chino Valley,US,2020-02-20 20:57:37,34.76,-112.45,71.01,18,1,4.7
108,Tynda,RU,2020-02-20 20:57:37,55.17,124.72,-17.01,99,67,1.19
109,Bada,RU,2020-02-20 20:57:37,51.39,109.87,1.69,96,98,3.58
110,Carutapera,BR,2020-02-20 20:53:32,-1.2,-46.02,79.09,82,100,6.31
111,Carnarvon,AU,2020-02-20 20:53:23,-24.87,113.63,78.8,69,100,10.29
112,Putina,PE,2020-02-20 20:57:38,-15.47,-69.43,55.63,65,100,19.57
113,Chuy,UY,2020-02-20 20:53:25,-33.7,-53.46,68.29,47,6,16.96
114,Souillac,MU,2020-02-20 20:53:32,-20.52,57.52,78.8,74,75,11.41
115,Bud,US,2020-02-20 20:54:04,39.45,-86.18,33.01,54,75,10.29
116,Lompoc,US,2020-02-20 20:53:29,34.64,-120.46,73.0,30,1,5.82
117,Poum,NC,2020-02-20 20:57:38,-20.23,164.02,80.64,78,0,12.17
118,Arraial Do Cabo,BR,2020-02-20 20:53:42,-22.97,-42.03,87.8,69,0,13.87
119,Constitucion,CL,2020-02-20 20:55:03,-35.33,-72.42,69.57,36,0,4.0
120,Lasa,IT,2020-02-20 20:53:43,46.62,10.7,37.4,73,0,6.93
121,Puerto Ayora,EC,2020-02-20 20:53:42,-0.74,-90.35,86.0,66,75,13.87
122,Tautira,PF,2020-02-20 20:53:36,-17.73,-149.15,86.0,66,40,10.29
123,Salinopolis,BR,2020-02-20 20:57:39,-0.61,-47.36,79.75,81,100,9.6
124,Baglung,NP,2020-02-20 20:57:39,28.27,83.59,36.32,58,0,10.33
125,Hami,CN,2020-02-20 20:53:54,42.8,93.45,21.42,54,0,1.95
126,Mar Del Plata,AR,2020-02-20 20:53:37,-38.0,-57.56,66.99,63,40,14.99
127,Nyuksenitsa,RU,2020-02-20 20:57:39,60.41,44.24,24.01,95,94,4.12
128,Hambantota,LK,2020-02-20 20:53:39,6.12,81.12,79.88,83,4,21.18
129,Tessalit,ML,2020-02-20 20:57:39,20.2,1.01,73.29,11,79,12.24
130,Gizo,SB,2020-02-20 20:57:39,-8.1,156.84,79.11,84,55,5.26
131,Katangli,RU,2020-02-20 20:54:55,51.71,143.23,6.12,95,98,5.08
132,Kassala,SD,2020-02-20 20:57:40,15.45,36.4,63.79,61,40,7.56
133,Esbjerg,DK,2020-02-20 20:57:40,55.47,8.45,44.6,86,100,23.04
134,Banda Aceh,ID,2020-02-20 20:57:40,5.56,95.32,72.21,84,15,5.46
135,Chokurdakh,RU,2020-02-20 20:53:32,70.63,147.92,-14.17,96,93,3.56
136,Nkowakowa,ZA,2020-02-20 20:57:40,-23.89,30.29,68.0,72,0,5.82
137,Sangar,RU,2020-02-20 20:53:57,63.92,127.47,-12.42,95,100,14.38
138,Lata,PT,2020-02-20 20:53:48,40.16,-8.33,54.0,87,0,5.82
139,Madinat Sittah Uktubar,EG,2020-02-20 20:57:41,29.82,31.05,57.2,58,40,6.93
140,Tuatapere,NZ,2020-02-20 20:54:53,-46.13,167.68,72.0,71,76,8.99
141,Longyearbyen,SJ,2020-02-20 20:53:35,78.22,15.64,6.8,60,75,16.11
142,Loralai,PK,2020-02-20 20:57:41,30.37,68.6,44.13,52,0,10.36
143,Northam,GB,2020-02-20 20:54:38,51.03,-4.22,45.0,86,20,8.05
144,Wanaka,NZ,2020-02-20 20:52:02,-44.7,169.15,62.01,85,93,10.96
145,Honiara,SB,2020-02-20 20:50:16,-9.43,159.95,77.0,100,75,4.52
146,Siderno,IT,2020-02-20 20:57:41,38.28,16.3,57.0,58,40,5.82
147,Xining,CN,2020-02-20 20:57:41,36.62,101.77,11.05,85,0,1.79
148,Pimentel,PE,2020-02-20 20:57:41,-6.84,-79.93,66.2,29,20,21.92
149,Kenora,CA,2020-02-20 20:57:41,49.82,-94.43,15.8,61,20,18.34
150,Hofn,IS,2020-02-20 20:53:47,64.25,-15.21,41.27,53,0,13.56
151,Big Rapids,US,2020-02-20 20:57:42,43.7,-85.48,23.0,44,40,10.29
152,Salym,RU,2020-02-20 20:57:42,60.06,71.48,27.79,96,97,6.31
153,Pisco,PE,2020-02-20 20:53:52,-13.7,-76.22,75.99,30,79,19.46
154,Bergen,NO,2020-02-20 20:57:42,60.39,5.33,39.99,100,75,3.36
155,Guarapari,BR,2020-02-20 20:56:36,-20.67,-40.5,84.2,70,20,19.46
156,Buta,CD,2020-02-20 20:55:04,2.79,24.73,74.95,65,17,1.9
157,Kodiak,US,2020-02-20 20:53:36,57.79,-152.41,37.4,96,75,3.36
158,Bandarbeyla,SO,2020-02-20 20:57:42,9.49,50.81,76.91,79,24,11.41
159,Port Elizabeth,ZA,2020-02-20 20:53:43,-33.92,25.57,69.8,88,75,13.87
160,Clyde River,CA,2020-02-20 20:54:08,70.47,-68.59,-13.0,75,40,17.22
161,Ketchikan,US,2020-02-20 20:52:35,55.34,-131.65,39.2,80,90,23.04
162,Ust-Tsilma,RU,2020-02-20 20:53:32,65.44,52.15,7.57,92,0,3.2
163,Arlit,NE,2020-02-20 20:53:38,18.74,7.39,70.83,14,0,10.89
164,Axim,GH,2020-02-20 20:53:45,4.87,-2.24,79.93,86,100,3.42
165,Saint-Philippe,RE,2020-02-20 20:53:58,-21.36,55.77,77.0,73,75,5.82
166,Malabo,GQ,2020-02-20 20:57:43,3.75,8.78,82.4,94,20,5.82
167,Rumonge,BI,2020-02-20 20:57:43,-3.97,29.44,67.17,87,33,5.01
